sub-0127    7    1
sub-0112    27    1
sub-0074    47    1
sub-0105    39    1
sub-    57    2
sub-    56    2
sub-0022    6    1
sub-0094    4    1
sub-0038    2    1
sub-0087    9    1
sub-0020    5    1
sub-0024    20    1
sub-0012    33    1
sub-0109    32    1
sub-0037    36    1
sub-0118    10    1
sub-1020    13    1
sub-0009    24    1
sub-0027    8    1
sub-0052    31    1
sub-0021    1    1
sub-0026    29    1
sub-0008    3    1
sub-0131    38    1
sub-0004    14    1
sub-0129    45    1
sub-0076    21    1
sub-0125    16    1
sub-0103    15    1
sub-0075    12    1
sub-0018    42    1
sub-0068    11    1
sub-0136    35    1
sub-0098    22    1
sub-0002    26    1
sub-0111    25    1
sub-0133    17    1
sub-0035    19    1
sub-0126    44    1
sub-0096    40    1
sub-0132    18    1
sub-4100    28    1
sub-0029    23    1
sub-0014    30    1
sub-0028    46    1
sub-0047    43    1
sub-0015    50    1
sub-1000    41    1
sub-0051    54    1
sub-0006    48    1
sub-0034    55    1
sub-0005    34    1
sub-0030    53    1
sub-0025    49    1
sub-0040    37    1
sub-0023    52    1
sub-0031    51    1
